Audit Date,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Fish Health Zone,Industry average L. salmonis motiles per fish,DFO average L. salmonis motiles per fish,Comments,Year Class
15-Apr-11,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,3.1,0.4,0.3,Statistical agreement between DFO and Industry counts,2
19-Apr-11,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,2.3,0.2,0.2,Statistical agreement between DFO and Industry counts,1
28-Apr-11,137,Marine Harvest Canada,Conville Bay,50.18057,-125.14933,3.2,0.0,0.0,Statistical agreement between DFO and Industry counts,1
2-May-11,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,3.2,0.1,0.2,Statistical agreement between DFO and Industry counts,2
25-May-11,306,Mainstream Canada,Venture Point,50.30241,-125.33778,3.2,0.5,0.3,Statistical agreement between DFO and Industry counts,1
26-May-11,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,2.4,0.3,0.4,Statistical agreement between DFO and Industry counts,2
1-Jun-11,520,Mainstream Canada,Bedwell,49.26548,-125.81247,2.3,0.7,1.1,"Statistically significant difference between DFO and Industry counts; Difference attributed to sample selection, methodology meets requirements outlined in licence conditions",1
2-Jun-11,1376,Marine Harvest Canada,Cleagh Creek,50.48224,-127.73243,2.4,0.0,0.1,Statistical agreement between DFO and Industry counts,1
3-Jun-11,1472,Mainstream Canada,West Side,49.27928,-125.83065,2.3,0.4,0.7,Statistical agreement between DFO and Industry counts,1
6-Jun-11,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,3.4,0.1,0.0,Statistical agreement between DFO and Industry counts,1
7-Jun-11,869,Mainstream Canada,Maude Island,50.85271,-126.75743,3.3,0.0,0.0,Statistical agreement between DFO and Industry counts,2
8-Jun-11,1144,Mainstream Canada,Burdwood,50.79690,-126.49581,3.3,0.1,0.1,Statistical agreement between DFO and Industry counts,2
9-Jun-11,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,3.3,0.9,0.7,Statistical agreement between DFO and Industry counts,2
21-Jun-11,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,3.4,0.1,0.2,Statistical agreement between DFO and Industry counts,1
22-Jun-11,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,3.5,0.0,0.1,Statistical agreement between DFO and Industry counts,1
12-Jul-11,526,Mainstream Canada,Rant Point,49.25670,-125.84153,2.3,0.0,0.1,Statistical agreement between DFO and Industry counts,2
22-Jul-11,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,2.4,0.0,0.0,Statistical agreement between DFO and Industry counts,1
4-Aug-11,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,3.5,3.5,3.7,Statistical agreement between DFO and Industry counts,1
17-Aug-11,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,3.4,0.5,0.7,Statistical agreement between DFO and Industry counts,1
8-Sep-11,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,3.3,0.1,0.0,Statistical agreement between DFO and Industry counts,1
14-Sep-11,332,Grieg Seafood BC,Salten,49.61535,-123.83407,3.1,0.2,0.0,Statistical agreement between DFO and Industry counts,1
19-Sep-11,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,3.2,0.4,0.7,Statistical agreement between DFO and Industry counts,1
5-Oct-11,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,3.3,1.5,1.3,Statistical agreement between DFO and Industry counts,1
6-Oct-11,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,3.3,1.5,2.0,Statistical agreement between DFO and Industry counts,2
12-Oct-11,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,3.4,3.0,3.3,Statistical agreement between DFO and Industry counts,1
12-Oct-11,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,3.4,1.8,2.4,Statistical agreement between DFO and Industry counts,2
13-Oct-11,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,2.4,2.3,2.4,Statistical agreement between DFO and Industry counts,1
14-Oct-11,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,3.2,3.4,3.0,Statistical agreement between DFO and Industry counts,1
18-Oct-11,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,3.2,0.4,0.3,Statistical agreement between DFO and Industry counts,2
19-Oct-11,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,3.2,0.3,0.4,Statistical agreement between DFO and Industry counts,2
2-Nov-11,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,3.5,2.2,2.5,Statistical agreement between DFO and Industry counts,1
7-Nov-11,1472,Mainstream Canada,West Side,49.27928,-125.83065,2.3,0.1,0.1,Statistical agreement between DFO and Industry counts,2
8-Nov-11,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,2.3,0.0,0.0,Statistical agreement between DFO and Industry counts,1
18-Nov-11,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,3.1,0.1,0.1,Statistical agreement between DFO and Industry counts,2
29-Nov-11,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,2.4,1.4,0.9,Statistical agreement between DFO and Industry counts,1
11-Jan-12,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,3.2,0.2,0.3,Statistical agreement between DFO and Industry counts,2
17-Jan-12,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,3.2,0.9,0.9,Statistical agreement between DFO and Industry counts,2
25-Jan-12,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,2.3,0.2,0.3,Statistical agreement between DFO and Industry counts,2
26-Jan-12,227,Mainstream Canada,Bawden,49.30798,-126.00721,2.3,0.1,0.0,Statistical agreement between DFO and Industry counts,1
31-Jan-12,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,3.2,8.6,8.5,Statistical agreement between DFO and Industry counts,2
7-Feb-12,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,2.4,1.5,1.2,Statistical agreement between DFO and Industry counts,2
12-Feb-12,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,3.3,0.0,0.0,Statistical agreement between DFO and Industry counts,2
14-Feb-12,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,2.4,0.4,0.4,Statistical agreement between DFO and Industry counts,2
16-Feb-12,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,3.1,0.1,0.3,Statistical agreement between DFO and Industry counts,2
23-Feb-12,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,3.3,0.3,0.3,Statistical agreement between DFO and Industry counts,1
8-Mar-12,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,3.4,0.1,0.1,Statistical agreement between DFO and Industry counts,1
9-Mar-12,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.41990,3.5,0.5,0.4,Statistical agreement between DFO and Industry counts,2
3-Apr-12,211,Marine Harvest Canada,Okisollo,50.30946,-125.31618,3.2,2.5,4.7,Statistical agreement between DFO and Industry counts,2
11-Apr-12,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,3.2,0.6,1.2,Statistical agreement between DFO and Industry counts,2
11-Apr-12,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,3.2,0.5,0.3,Statistical agreement between DFO and Industry counts,2
13-Apr-12,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,3.2,0.1,0.2,Statistical agreement between DFO and Industry counts,1
16-Apr-12,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,2.3,0.5,0.5,Statistical agreement between DFO and Industry counts,1
17-Apr-12,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,2.3,0.1,0.0,Statistical agreement between DFO and Industry counts,1
18-Apr-12,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,2.3,0.4,0.3,Statistical agreement between DFO and Industry counts,2
18-Apr-12,520,Mainstream Canada,Bedwell,49.26548,-125.81247,2.3,1.2,1.6,Statistical agreement between DFO and Industry counts,2
30-Apr-12,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,2.4,0.4,0.3,Statistical agreement between DFO and Industry counts,2
30-Apr-12,1700,Grieg Seafood BC,Muchalat South,49.64012,-126.32735,2.4,0.2,0.1,Statistical agreement between DFO and Industry counts,1
1-May-12,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,2.4,0.2,0.2,Statistical agreement between DFO and Industry counts,2
7-May-12,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,3.1,0.0,0.1,Statistical agreement between DFO and Industry counts,1
14-May-12,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,3.3,0.0,0.0,Statistical agreement between DFO and Industry counts,2
15-May-12,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,3.3,0.1,0.2,Statistical agreement between DFO and Industry counts,2
23-May-12,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,2.4,0.9,0.8,Statistical agreement between DFO and Industry counts,2
23-May-12,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.56810,3.3,0.1,0.1,Statistical agreement between DFO and Industry counts,1
24-May-12,1144,Mainstream Canada,Burdwood,50.79690,-126.49581,3.3,0.1,0.1,Statistical agreement between DFO and Industry counts,2
24-May-12,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,3.3,2.5,1.8,Statistical agreement between DFO and Industry counts,2
5-Jun-12,733,Marine Harvest Canada,Cyrus Rock,50.25682,-125.21030,3.2,1.5,1.0,Statistical agreement between DFO and Industry counts,2
17-Jul-12,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,3.2,0.0,0.1,Statistical agreement between DFO and Industry counts,2
27-Jul-12,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,2.4,0.3,0.2,Statistical agreement between DFO and Industry counts; Audit included only one pen.,2
5-Sep-12,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,3.5,10.2,13.4,"Statistically significant difference between DFO and Industry counts; Difference attributed to sample selection, methodology meets requirements outlined in licence conditions",2
18-Sep-12,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,2.3,0.5,0.6,Statistical agreement between DFO and Industry counts,1
17-Oct-12,733,Marine Harvest Canada,Cyrus Rock,50.25682,-125.21030,3.2,3.8,3.2,Statistical agreement between DFO and Industry counts,2
23-Oct-12,1700,Grieg Seafood BC,Muchalat South,49.64012,-126.32735,2.4,1.9,1.9,Statistical agreement between DFO and Industry counts,1
30-Oct-12,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,3.5,3.2,5.1,"Statistically significant difference between DFO and Industry counts; Difference attributed to sample selection, methodology meets requirements outlined in licence conditions",1
31-Oct-12,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,3.4,4.0,5.3,Statistical agreement between DFO and Industry counts,1
8-Nov-12,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,3.3,0.3,0.4,Statistical agreement between DFO and Industry counts,1
4-Dec-12,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,2.3,0.1,0.1,Statistical agreement between DFO and Industry counts,2
30-Jan-13,211,Marine Harvest Canada,Okisollo,50.30946,-125.31618,3.2,2.9,2.4,Statistical agreement between DFO and Industry counts,2
13-Feb-13,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,3.4,0.2,0.1,Statistical agreement between DFO and Industry counts,1
14-Feb-13,869,Mainstream Canada,Maude Island,50.85271,-126.75743,3.3,1.7,1.8,Statistical agreement between DFO and Industry counts,2
18-Feb-13,1700,Grieg Seafood BC,Muchalat South,49.64012,-126.32735,2.4,0.8,1.1,Statistical agreement between DFO and Industry counts,2
5-Mar-13,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,2.3,0.0,0.0,Statistical agreement between DFO and Industry counts,1
12-Mar-13,884,Marine Harvest Canada,Lochalsh Bay,52.53399,-128.36020,3.5,0.1,0.0,Statistical agreement between DFO and Industry counts,1
10-Apr-13,304,Mainstream Canada,Raza Island,50.32159,-125.00882,3.2,0.3,0.4,Statistical agreement between DFO and Industry counts,2
26-Apr-13,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,3.2,0.0,0.0,Statistical agreement between DFO and Industry counts,1
26-Apr-13,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,3.2,0.2,0.1,Statistical agreement between DFO and Industry counts,2
1-May-13,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,3.5,9.8,9.8,Statistical agreement between DFO and Industry counts,2
6-May-13,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,3.4,2.4,3.1,Statistical agreement between DFO and Industry counts,2
7-May-13,869,Mainstream Canada,Maude Island,50.85271,-126.75743,3.3,0.1,0.0,Statistical agreement between DFO and Industry counts,2
7-May-13,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,3.3,0.2,0.2,Statistical agreement between DFO and Industry counts,2
8-May-13,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.56810,3.3,0.1,0.2,Statistical agreement between DFO and Industry counts,1
8-May-13,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,3.3,0.1,0.4,Statistical agreement between DFO and Industry counts,2
9-May-13,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,3.3,0.0,0.1,Statistical agreement between DFO and Industry counts,2
16-May-13,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,3.4,0.0,0.0,Statistical agreement between DFO and Industry counts,2
21-May-13,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,2.4,0.0,0.1,Statistical agreement between DFO and Industry counts,1
22-May-13,884,Marine Harvest Canada,Lochalsh Bay,52.53399,-128.36020,3.5,0.0,0.0,Statistical agreement between DFO and Industry counts,1
22-May-13,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,3.5,8.0,7.6,Statistical agreement between DFO and Industry counts,2
23-May-13,1338,Marine Harvest Canada,Mahatta East,50.47527,-127.79038,2.4,2.5,2.5,Statistical agreement between DFO and Industry counts,2
23-May-13,1238,Marine Harvest Canada,Mahatta West,50.83427,-127.47113,2.4,2.5,1.8,Statistical agreement between DFO and Industry counts,2
4-Jun-13,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,2.3,0.1,0.0,Statistical agreement between DFO and Industry counts,1
4-Jun-13,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,2.3,0.1,0.0,Statistical agreement between DFO and Industry counts,1
5-Jun-13,526,Mainstream Canada,Rant Point,49.25670,-125.84153,2.3,1.5,1.3,Statistical agreement between DFO and Industry counts,2
7-Jun-13,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,2.3,1.5,1.5,Statistical agreement between DFO and Industry counts,1
11-Jul-13,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,3.2,0.1,0.2,Statistical agreement between DFO and Industry counts,1
30-Jul-13,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,3.4,1.2,0.8,Statistical agreement between DFO and Industry counts,1
31-Jul-13,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,2.4,2.7,2.6,Statistical agreement between DFO and Industry counts,1
27-Aug-13,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,3.5,1.6,0.9,Statistical agreement between DFO and Industry counts,1
10-Sep-13,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,2.3,0.8,0.5,Statistical agreement between DFO and Industry counts,1
20-Sep-13,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,3.3,1.6,2.2,Statistical agreement between DFO and Industry counts,1
24-Oct-13,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,3.1,0.1,0.1,Statistical agreement between DFO and Industry counts,1
28-Oct-13,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,3.2,10.4,11.7,Statistical agreement between DFO and Industry counts,2
14-Nov-13,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,2.4,0.7,0.5,Statistical agreement between DFO and Industry counts,1
20-Nov-13,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,3.3,0.0,0.0,Statistical agreement between DFO and Industry counts,1
21-Nov-13,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,3.5,5.7,10.7,Statistically significant difference between DFO and Industry counts; Follow-up actions taken,2
6-Dec-13,227,Mainstream Canada,Bawden,49.30798,-126.00721,2.3,0.5,0.9,Statistical agreement between DFO and Industry counts,1
5-Feb-14,143,Marine Harvest Canada,Larsen Island,50.60175,-126.63284,3.3,0.1,0.3,Statistical agreement between DFO and Industry counts,1
6-Feb-14,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,3.4,0.0,0.1,Statistical agreement between DFO and Industry counts,1
13-Feb-14,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,3.1,0.0,0.0,Statistical agreement between DFO and Industry counts,1
4-Mar-14,314,Cermaq Canada,Ross Pass,49.32437,-126.04849,2.3,0.3,0.3,Statistical agreement between DFO and Industry counts,2
11-Mar-14,304,Cermaq Canada,Raza Island,50.32159,-125.00882,3.2,0.2,0.2,Statistical agreement between DFO and Industry counts,1
8-Apr-14,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,3.2,0.0,0.5,Statistical agreement between DFO and Industry counts,2
10-Apr-14,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,2.4,0.2,0.4,Statistical agreement between DFO and Industry counts,2
28-Apr-14,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.56810,3.3,0.0,0.1,Statistical agreement between DFO and Industry counts,1
30-Apr-14,1144,Cermaq Canada,Burdwood,50.79690,-126.49581,3.3,0.0,0.0,Statistical agreement between DFO and Industry counts,1
30-Apr-14,728,Cermaq Canada,Sir Edmund Bay,50.83096,-126.59684,3.3,0.3,0.3,Statistical agreement between DFO and Industry counts,1
1-May-14,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,3.3,0.0,0.1,Statistical agreement between DFO and Industry counts,2
2-May-14,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,3.3,0.0,0.0,Statistical agreement between DFO and Industry counts,1
13-May-14,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,3.4,0.0,0.1,Statistical agreement between DFO and Industry counts,2
13-May-14,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.50040,3.4,0.1,0.0,Statistical agreement between DFO and Industry counts,1
14-May-14,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.41990,3.5,0.4,0.1,Statistical agreement between DFO and Industry counts,2
14-May-14,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,3.5,0.0,0.0,Statistical agreement between DFO and Industry counts,1
15-May-14,1238,Marine Harvest Canada,Mahatta West,50.83427,-127.47113,2.4,0.1,0.1,Statistical agreement between DFO and Industry counts,1
16-May-14,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,2.4,0.9,0.4,Statistical agreement between DFO and Industry counts,2
16-May-14,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,2.4,0.2,0.2,Statistical agreement between DFO and Industry counts,2
3-Jun-14,1537,Cermaq Canada,Bare Bluff,49.32702,-125.79902,2.3,0.1,0.3,Statistical agreement between DFO and Industry counts,1
3-Jun-14,314,Cermaq Canada,Ross Pass,49.32437,-126.04849,2.3,1.7,1.3,Statistical agreement between DFO and Industry counts,2
